0x20;space
0x21;a1
0x22;a2
0x23;a202
0x24;a3
0x25;a4
0x26;a5
0x27;a119
0x28;a118
0x29;a117
0x2A;a11
0x2B;a12
0x2C;a13
0x2D;a14
0x2E;a15
0x2F;a16
0x30;a105
0x31;a17
0x32;a18
0x33;a19
0x34;a20
0x35;a21
0x36;a22
0x37;a23
0x38;a24
0x39;a25
0x3A;a26
0x3B;a27
0x3C;a28
0x3D;a29
0x3E;a30
0x3F;a31
0x40;a32
0x41;a33
0x42;a34
0x43;a35
0x44;a36
0x45;a37
0x46;a38
0x47;a39
0x48;a40
0x49;a41
0x4A;a42
0x4B;a43
0x4C;a44
0x4D;a45
0x4E;a46
0x4F;a47
0x50;a48
0x51;a49
0x52;a50
0x53;a51
0x54;a52
0x55;a53
0x56;a54
0x57;a55
0x58;a56
0x59;a57
0x5A;a58
0x5B;a59
0x5C;a60
0x5D;a61
0x5E;a62
0x5F;a63
0x60;a64
0x61;a65
0x62;a66
0x63;a67
0x64;a68
0x65;a69
0x66;a70
0x67;a71
0x68;a72
0x69;a73
0x6A;a74
0x6B;a75
0x6C;a76
0x6D;a77
0x6E;a78
0x6F;a79
0x70;a80
0x71;a81
0x72;a82
0x73;a83
0x74;a84
0x75;a97
0x76;a98
0x77;a99
0x78;a100
0x79;a101
0x7A;a102
0x7B;a103
0x7C;a104
0x7D;a106
0x7E;a107
0xA0;a108
0xA1;a112
0xA2;a111
0xA3;a110
0xA4;a109
0xA5;a120
0xA6;a121
0xA7;a122
0xA8;a123
0xA9;a124
0xAA;a125
0xAB;a126
0xAC;a127
0xAD;a128
0xAE;a129
0xAF;a130
0xB0;a131
0xB1;a132
0xB2;a133
0xB3;a134
0xB4;a135
0xB5;a136
0xB6;a137
0xB7;a138
0xB8;a139
0xB9;a140
0xBA;a141
0xBB;a142
0xBC;a143
0xBD;a144
0xBE;a145
0xBF;a146
0xC0;a147
0xC1;a148
0xC2;a149
0xC3;a150
0xC4;a151
0xC5;a152
0xC6;a153
0xC7;a154
0xC8;a155
0xC9;a156
0xCA;a157
0xCB;a158
0xCC;a159
0xCD;a160
0xCE;a161
0xCF;a163
0xD0;a164
0xD1;a196
0xD2;a165
0xD3;a192
0xD4;a166
0xD5;a167
0xD6;a168
0xD7;a169
0xD8;a170
0xD9;a171
0xDA;a172
0xDB;a173
0xDC;a162
0xDD;a174
0xDE;a175
0xDF;a176
0xE0;a177
0xE1;a178
0xE2;a179
0xE3;a193
0xE4;a180
0xE5;a199
0xE6;a181
0xE7;a200
0xE8;a182
0xE9;a201
0xEA;a183
0xEB;a184
0xEC;a197
0xED;a185
0xEE;a194
0xEF;a198
0xF1;a186
0xF2;a195
0xF3;a187
0xF4;a188
0xF5;a189
0xF6;a190
0xF7;a191
0xF8;a203
0xF9;a204
0xFA;a205
0xFB;a206
